,full_name,customer_id,branch_id,branch,birthdate,father_name,loan_superviser_id,bc_id,bc_serial,postal_code,phone_number,cell_phone
0,Walter Mcbride,47973106,52251,Dean,1932-10-14,Theodore,94050,22022964,86g464564,8511993156,025-88219187,09757349458
1,Rosa Souffrant,20310200,86165,Lyles,1901-12-05,Jamar,65150,1832,78t932747,8011682336,051-99990814,09652771131
2,William Richardson,56582452,46704,Hall,1994-01-12,Gordon,62940,94212892531,94z911084,0750952529,017-44566611,09363575268
3,Douglas Schoenthal,51455422,83467,Harris,1962-09-09,Ed,6149,84281519900,32f548091,2723213405,045-66890485,09068018446
4,Carla Curtis,64018955,65217,Lundgren,1968-09-28,Dennis,58168,737201928,21v837297,8875348529,011-99576434,09064861171
5,Kelle Deloy,71191336,98438,Wiggains,1928-10-28,Peter,41170,85328,04k104443,5329075213,028-55145550,09509758591
6,Eugene Lucas,78006199,41046,Cruz,1910-01-14,James,74525,036,76z962485,8622099061,081-55587651,09727563267
7,Gay Murphy,49169200,62848,Hurtado,1949-03-12,Matthew,79175,5000735271,68q166377,2333535736,044-55268063,09908725675
8,Eric Johnson,61349182,9431,Degenfelder,1945-03-22,Eddie,29501,09,02p467972,7618474731,054-66707816,09304367506
9,Kenneth Solis,35049980,47204,Haas,2014-08-18,Michael,88896,76861594,10p047581,5957110317,066-44840564,09828663707
10,Daniel Hokanson,91203043,14311,Christensen,2005-06-07,Brett,34542,1520018,33v030111,4139278727,025-77997157,09993762278
11,Ralph Ford,90490076,7274,Martin,1917-06-25,Travis,2290,9,66d074546,6828879561,056-77170641,09875175105
12,Sheila Batchelder,15165339,91911,Harris,1901-01-09,Sydney,65163,293,78x791636,4885593816,021-99183156,09841881183
13,Norma Calderon,10294553,26183,Jellison,2013-01-14,Peter,52208,3164741674,00r108141,7944286107,087-99747227,09555985514
14,Sheila Cohen,11409288,90315,Beebe,1910-12-16,William,76290,98,62c153608,9894031985,061-66335311,09157391909
15,Robert Lewis,30725789,8187,Hummel,2002-03-19,Alex,3654,281322911,21y371216,3703144231,044-33806828,09612517977
16,Josephine Garske,42832306,32823,Davis,1919-11-06,Earl,90175,8413,82j115544,1931300724,024-88729597,09680826360
17,David Musty,20903970,36983,Smith,2004-01-22,Edward,51955,048265,58z235949,4154925466,066-11987507,09794616577
18,Shane Roach,78125615,44555,Hadley,1918-10-12,Esteban,96835,836833434,67w454182,9877009721,081-33576917,09609255919
19,Kristin Wagner,92724367,79793,Altman,2003-08-23,Calvin,84021,2213591,41r765478,5019322685,054-11842603,09550344316
20,Kandice Madison,97897640,61410,Cohen,1948-07-13,Gregg,47546,847429472,86s718440,3206422967,061-22946800,09878102812
21,Nancy Harris,99795759,70019,Godwin,1969-08-11,Phil,20438,754783594,18n510612,7909885783,086-22797425,09117061582
22,Dorothy Lorraine,77564242,68533,Austin,1925-08-18,Fernando,58324,92696593020,05i322499,6446995631,024-88987139,09331991701
23,Chester Massie,32444042,94973,Potter,1994-07-24,Billy,23138,23663495119,80q149426,0353865552,026-88401595,09938209503
24,Olive Ford,91236879,63627,Lanzetta,1939-02-18,Alex,93041,52318358432,60v355276,7101917193,061-44231340,09486331429
25,Andrew Cantara,43442109,53708,Pedro,1990-04-10,Louis,40415,5186,37f811373,5772580647,025-66016250,09157144960
26,Eileen Nasworthy,35021376,66847,Cohen,1979-10-04,Kyle,83658,3604,52q436386,4896259541,025-33522484,09489221979
27,Maria Kauffman,33195929,3762,Mcdonough,2007-11-01,Charles,44577,385044958,05i488593,4836096245,056-33183960,09001464308
28,Margo Barnett,71723082,27818,Brown,1920-01-10,Cody,35735,2656,28l117693,8769806183,056-66587354,09711103170
29,Hector Figueroa,79150892,71522,Henke,1935-06-01,Reginald,51072,1,69f882764,2495244260,051-00217709,09619348796
30,Dennis Delagarza,27716481,60984,Barnes,2017-04-26,David,79271,0527272423,64e479725,6895911857,031-22785799,09759350934
31,Shawana Okeefe,14249637,15619,Liner,1904-09-22,Hung,57514,636,36g182001,7138337937,086-66563148,09537589724
32,Kenneth Thornton,59080416,94120,King,1935-02-09,Marvin,20048,7259,51i686303,4084306221,031-55704931,09724917006
33,William Wilson,33487685,18081,King,1906-03-21,Dylan,44947,52523307,36o842166,2558654904,045-77508714,09786820787
34,Patsy Mullins,50346288,44137,Izzi,1923-09-02,Carl,22558,85,80k689641,2693724214,041-44795264,09879503385
35,Jennifer Alexander,50830685,78879,Archer,1955-08-26,Clarence,96225,213,23x897787,1253213932,013-77489057,09461260943
36,Marilyn Coachman,29834126,40738,Kessler,1917-06-07,Thomas,3648,2,73a177016,2822727734,086-77712380,09233819332
37,Joseph Veil,24289989,23319,Shaffer,1901-05-21,James,46273,526967,18c309340,8113771591,066-33752783,09272414104
38,James Norman,39119532,79792,Sawyer,2020-07-19,Mark,48142,45009439,76u732896,1545667618,056-66137423,09810120129
39,Lisa Ford,85950523,71195,Haugen,1903-05-06,Laurence,55022,28769131202,99l993064,1665388953,056-99748502,09154920037
40,Elizabeth Vansant,69672149,90207,Lagatta,1946-01-13,Gregg,43539,87,31d658229,1220279299,058-33932198,09983387679
41,Marion Nail,47445418,60429,Parker,1958-03-25,Roberto,43467,505,93h260896,9961229108,023-88028132,09988450184
42,Scotty Riley,52011949,87408,Mosby,1984-10-23,Donnie,82305,57584857,36p231955,8333690164,025-00071205,09476711587
43,Michael Hecker,89893165,50778,Croom,2015-03-27,Steve,16739,95450401,96m411207,8516819620,013-55554464,09895649402
44,Ryan Johnson,26869850,53794,Carpenter,1971-03-28,Casey,85128,420,27s559476,5822719350,087-55754018,09460555472
45,Thomas Dunn,69559878,69578,Riveria,1996-03-02,Manuel,29495,68908476,23k440459,6019595754,071-22452531,09276118302
46,Thomas Hayden,41948503,48652,Whitt,1937-04-03,Ken,33531,43312,72s059852,5684684528,058-99752683,09891332638
47,Evelyn Davis,97078364,38157,Lobue,1935-12-15,Warren,71745,555080015,85s103329,1483084199,051-55148046,09434906914
48,Jose Sprung,44046967,28193,Oakman,1956-04-24,Patrick,5114,9172,82u245989,0849658799,081-44738410,09136738839
49,David Mckee,68694575,61761,Spencer,2014-09-17,Shane,56650,8,94s564982,1286631885,058-66044299,09514098117
50,Laurie Teague,69399423,32924,Lemaster,2009-11-13,Robert,19799,382058139,01j493623,0035793127,074-11269310,09720230532
51,James Cross,27045439,16251,Poe,1965-06-05,Carlos,70785,126292253,36z222199,8847207023,074-22332316,09325829359
52,James Whatley,16984333,92952,Noble,1914-07-05,Todd,33148,216421,49p370637,0583430861,083-22086783,09159708931
53,John Nassar,29857987,52074,Hoffman,1919-04-27,Stephan,26326,4502355496,63m258413,2827496423,044-00414577,09679984730
54,Eda Reiber,20766525,11711,Garcia,2020-10-06,Tyrone,50392,9,98k204162,2121106321,013-22156176,09958809929
55,Frances Porter,32234076,34339,Roark,2022-06-12,Billy,67132,91,45u910874,0508865666,045-11251054,09024201028
56,Zelma Spitler,84258138,87264,Williamson,1933-12-26,Robert,50369,506403694,92t252422,8180589296,066-55693014,09589468390
57,Laura Long,21875793,64961,Ellis,1988-12-05,William,4840,0792697,15f850867,7289378669,025-55755008,09132306455
58,Gerald Chase,69038215,64225,Thomsen,1931-07-20,George,92319,47224,52o832959,7853565776,077-11362292,09377521273
59,Lois Powell,29974877,57543,Denman,1948-09-28,Darrell,23235,72,95l870585,6182159509,081-11083163,09187659101
60,Joseph White,87333440,68882,Atwell,2007-04-02,Donald,35502,249,08u281178,4490467618,081-99831155,09032091991
61,Maria Moore,92885115,22687,Fisher,2007-11-04,Edward,33446,598,79g716726,4350289981,074-00250163,09303287947
62,Antonio Rose,37159611,94171,Parsons,1978-01-09,Frank,30486,353775,50l858068,3682849797,034-88357404,09736971779
63,Jacob Swaney,53677214,36,Dittrick,1955-02-07,Philip,58509,637218852,89t059567,2092460668,045-88564469,09059007380
64,Lonnie Davis,92991774,55512,Haselton,1938-08-21,Clarence,59393,612,23p067903,6495106699,011-11444224,09770002010
65,Deann Hunter,36389763,59939,Justice,1964-01-14,Brian,76822,3,23d058652,2877139422,021-88433829,09351331914
66,Alexandra Kaelin,28771724,95681,Wolfe,1969-12-02,Eric,87671,771791267,18r996055,7026419993,041-22031671,09895536792
67,Kurt Mccoy,71677077,29694,Wetherbee,1978-01-18,Ross,89414,5,01c623356,4476192322,086-66901494,09218080766
68,Winter Stephenson,94723701,94858,Rivera,1955-10-24,Albert,10646,816,67i418766,3180268644,034-22513624,09980052652
69,Billy Coombs,36562302,29411,Brenner,1914-06-28,Clyde,40056,921921,36a422863,9538225262,017-11174486,09406595567
70,Lura Gillett,19622943,6795,Eastland,1918-06-20,Richard,25652,896004985,40m716303,2628103222,051-77260272,09247211266
71,Elizabeth Jones,79504400,66185,Phung,2022-08-01,Benjamin,92947,152,50l614264,6204199981,083-55669337,09002387818
72,Kevin Jahnke,28579402,75202,Coleman,1927-11-19,Raymond,3078,9533,44e425741,0574529838,083-77496937,09286834009
73,Ines Claybrook,14728931,52900,Bell,1996-02-09,Clinton,54659,6750021238,45b733451,0583875039,077-77339561,09124624099
74,Robert Higgins,59587857,54188,Thompson,1991-04-12,Lionel,86043,87,66q791104,6803925416,054-33641509,09318596689
75,David Roberts,87938121,50516,White,1979-01-24,Marlon,10491,954213485,44q538939,7995629606,074-44724164,09802779012
76,Amy Porter,16031429,7490,Griggs,1984-07-07,Dan,32466,139875229,61u898052,3850058326,077-11840063,09586107933
77,Ronald Barbosa,87883810,96725,Dragich,1909-04-11,Thad,97913,6368649,11k879941,0157133674,028-77132256,09233099345
78,Audrey Johnson,80722633,37168,Tsang,1936-02-19,Richard,67590,053305227,84m262259,6558718074,013-77882571,09566619198
79,Betty Roudebush,36507605,62796,Peppers,1967-11-28,Richard,19799,65,09z669692,2828130726,044-77052167,09980851564
80,Willie Morris,22323803,600,Yerian,1927-09-10,Clyde,11365,54144,70k321587,5541538712,084-66336424,09679516972
81,Elma Martinez,65931513,55284,Pedersen,2002-03-08,David,70572,7074241338,52b954327,7470467331,023-11433197,09558940331
82,Mary Kelly,82296849,12288,Maxwell,1925-11-25,Steven,15977,1972973,08p360312,2942707767,021-33050523,09730723093
83,Mary Loyd,70909546,76802,Stewart,1970-11-11,Joseph,25894,63244531,85i630237,0634892082,074-77266746,09305893725
84,Terri Starling,91139273,58523,Johnston,1964-03-02,Michael,15918,7,30r343858,8045701702,071-44544214,09480325541
85,Travis Davis,34012607,70416,Panzarino,1972-01-09,Howard,83053,6,16q841965,0922469606,023-33337350,09349608924
86,Teresa Benge,42185282,82206,Lazaroff,1916-01-15,Michael,96014,462,50a094861,2521566808,066-22463865,09927910025
87,James Boles,44351244,65442,Brand,1992-05-04,Justin,2248,817,64f483602,9017836897,013-44141565,09836148433
88,Anita Jones,23586687,80715,Richter,1928-03-13,Steven,52933,228,97n126818,7926164268,081-66843551,09106621315
